"No. Overall","No. in season","Title","Original air date","Cost of home ($)","Closing cost ($)","Rehab cost ($)","Sale price ($)","Profit/loss ($)","Contractor"
78,8,"Addition and Subtraction",2017-01-26T06:00:00.000Z,325000,20000,124000,569900,100900,"Jake Rigel"
79,9,"Double Lot Limbo",2017-02-02T06:00:00.000Z,510000,25000,83800,567000,198200,"Jake Rigel"
80,10,"Ready-to-Flip Ranch",2017-02-09T06:00:00.000Z,340000,20000,63800,510000,86200,"Jake Rigel"
81,11,"Hot Market, Fast Flip",2017-02-16T06:00:00.000Z,340000,20000,73800,530000,96200,"Frank Miller"
82,12,"Wishful Workshop",2017-02-23T06:00:00.000Z,340000,20000,79200,550000,110800,"Jake Rigel"
83,13,"Lessons in Laguna Beach",2017-03-02T06:00:00.000Z,900000,40000,123800,1149000,85200,"Israel Battres"
84,14,"Diving into a Flip",2017-03-09T06:00:00.000Z,NaN,NaN,NaN,NaN,NaN,"Jeff Lawrence"
85,15,"Hillside Horror",2017-03-16T05:00:00.000Z,NaN,NaN,NaN,NaN,80000,"Israel Battress"
86,16,"False Start Flip",2017-03-23T05:00:00.000Z,310000,20000,145800,579900,104100,"Ken Garrison"
87,17,"Beaming With Potential",2017-03-30T05:00:00.000Z,425000,20000,114600,619900,60300,"Jake Rigel"
88,1,"A Deceiving Deal",2017-06-15T05:00:00.000Z,370000,20000,95000,540000,55000,"Jeff Lawrence"
89,2,"Switching Rooms",2017-06-22T05:00:00.000Z,435000,19000,85800,600000,60200,"Israel Battres"
90,3,"Post-Purchase Problems",2017-06-29T05:00:00.000Z,340000,20000,95300,550000,94700,"Jeff Lawrence"
91,4,"Midcentury Maze",2017-07-06T05:00:00.000Z,435000,25000,85050,650000,104950,"Israel Battres"
92,5,"Infringing Flip",2017-07-13T05:00:00.000Z,425000,20000,78300,599900,76600,"Jeff Lawrence"
93,6,"Junk-Pile Flip",2018-06-18T05:00:00.000Z,280000,11600,118400,477500,67500,"Jeff Lawrence"
95,7,"Shattered Flip",2018-07-12T05:00:00.000Z,442500,20000,95000,607000,50000,"Jeff Lawrence"
96,8,"Midcentury Markup",2018-08-02T05:00:00.000Z,540000,25000,99000,674900,10000,"Israel Battres"
97,9,"Pigeonhole Flip",2018-06-28T05:00:00.000Z,435000,25000,74200,600000,65800,"Jeff Lawrence"
98,10,"What's Old is New Again",2018-08-16T05:00:00.000Z,390000,21000,83500,560000,65500,"Jeff Lawrence"
99,11,"Rock Bottom Flip",2018-09-09T05:00:00.000Z,400000,20000,90000,570000,60000,"Israel Battres"
100,12,"Two Houses for Sale",2018-06-07T05:00:00.000Z,465000,25000,80000,639000,69000,"Israel Battres"
101,13,"Flipping and Dating",2018-05-31T05:00:00.000Z,517500,20000,74200,700888,89188,"Jeff Lawrence"
102,14,"Bursting at the Seams",2018-06-14T05:00:00.000Z,420000,25500,84500,605000,75000,"Israel Battres"
103,15,"Tri-Level Flip",2018-07-26T05:00:00.000Z,675000,25000,140000,999000,154000,"Jeff Lawrence"
104,16,"New Normal in Arcadia",2018-07-05T05:00:00.000Z,825000,30000,93800,1160000,211200,"Jeff Lawrence"
105,17,"Dark and Dingy",2018-07-19T05:00:00.000Z,420000,20000,100000,652000,112000,"Israel Battres"
106,18,"Rotten Flip",2018-08-23T05:00:00.000Z,750000,30000,130000,1030000,120000,"Israel Battres"
107,19,"Fantastic Flip",2018-08-30T05:00:00.000Z,570000,29000,102100,815000,113900,"Jeff Lawrence"
108,20,"Infested Flip",2018-09-06T05:00:00.000Z,400000,20000,100000,580000,60000,"Jeff Lawrence"
109,1,"Unpermitted Flip",2019-08-01T05:00:00.000Z,475000,20000,100400,638000,42600,"Jeff Lawrence"
110,2,"Fish Out of Water",2019-08-08T05:00:00.000Z,475000,25000,81700,665000,83300,"Jeff Lawrence"
111,3,"Flea Bag Flip",2019-08-15T05:00:00.000Z,380000,20000,93000,570000,77000,"Jeff Lawrence"
112,4,"Bankrupt Flip",2019-08-22T05:00:00.000Z,430000,25000,90000,599900,54900,"Jeff Lawrence"
113,5,"Alarming Flip",2019-08-29T05:00:00.000Z,510000,20000,89400,649900,30500,"Jeff Lawrence"
